ID,category,Frequency,Horizon,SP,StartingDate
H1,Other,24,48,Hourly,01/07/15 12:00
H2,Other,24,48,Hourly,23/04/14 12:00
H3,Other,24,48,Hourly,22/05/10 12:00
H4,Other,24,48,Hourly,02/05/10 12:00
H5,Other,24,48,Hourly,09/04/10 12:00
H6,Other,24,48,Hourly,09/05/10 12:00
H7,Other,24,48,Hourly,15/03/17 12:00
H8,Other,24,48,Hourly,01/01/17 12:00
H9,Other,24,48,Hourly,01/05/17 12:00
H10,Other,24,48,Hourly,01/01/17 12:00
D1,Micro,1,14,Daily,25-03-82 12:00
D2,Micro,1,14,Daily,30/03/01 12:00
D3,Micro,1,14,Daily,30/09/05 12:00
D4,Micro,1,14,Daily,30/03/01 12:00
D5,Industry,1,14,Daily,25-09-89 12:00
D6,Industry,1,14,Daily,14/07/16 12:00
D7,Finance,1,14,Daily,30/09/04 12:00
D8,Finance,1,14,Daily,30/03/01 12:00
D9,Other,1,14,Daily,19/03/10 12:00
D10,Other,1,14,Daily,19/12/08 12:00
W1,Macro,1,13,Weekly,15-02-86 12:00
W2,Finance,1,13,Weekly,01/07/09 12:00
W3,Finance,1,13,Weekly,28-06-00 12:00
W4,Finance,1,13,Weekly,03/01/01 12:00
W5,Finance,1,13,Weekly,03/01/01 12:00
W6,Finance,1,13,Weekly,03/01/01 12:00
W7,Demographic,1,13,Weekly,04-01-86 12:00
W8,Micro,1,13,Weekly,18/12/02 12:00
W9,Micro,1,13,Weekly,18/12/02 12:00
W10,Micro,1,13,Weekly,01/01/16 12:00
M1,Macro,12,18,Monthly,01-01-90 12:00
M2,Macro,12,18,Monthly,01-01-90 12:00
M3,Macro,12,18,Monthly,31-01-85 12:00
M4,Micro,12,18,Monthly,31/01/10 12:00
M5,Micro,12,18,Monthly,31/01/10 12:00
M6,Industry,12,18,Monthly,01-01-90 12:00
M7,Finance,12,18,Monthly,01-01-94 12:00
M8,Finance,12,18,Monthly,31-01-90 12:00
M9,Finance,12,18,Monthly,31/10/10 12:00
M10,Finance,12,18,Monthly,31-05-96 12:00
Q1,Macro,4,8,Quarterly,01-01-98 12:00
Q2,Micro,4,8,Quarterly,31-01-99 12:00
Q3,Micro,4,8,Quarterly,31-01-96 12:00
Q4,Micro,4,8,Quarterly,31-03-69 12:00
Q5,Industry,4,8,Quarterly,01/01/05 12:00
Q6,Industry,4,8,Quarterly,30-09-69 12:00
Q7,Industry,4,8,Quarterly,31-03-98 12:00
Q8,Finance,4,8,Quarterly,01-04-97 12:00
Q9,Finance,4,8,Quarterly,28-02-91 12:00
Q10,Finance,4,8,Quarterly,31/03/03 12:00
Y1,Macro,1,6,Yearly,31-12-70 12:00
Y2,Micro,1,6,Yearly,01-01-50 12:00
Y3,Micro,1,6,Yearly,01-01-69 12:00
Y4,Micro,1,6,Yearly,01-01-90 12:00
Y5,Micro,1,6,Yearly,01-01-90 12:00
Y6,Demographic,1,6,Yearly,01-01-60 12:00
Y7,Finance,1,6,Yearly,01-01-50 12:00
Y8,Finance,1,6,Yearly,31-12-95 12:00
Y9,Finance,1,6,Yearly,30-06-86 12:00
Y10,Other,1,6,Yearly,31-12-92 12:00
